,Username,Date,Time,Text,Sentiment
40,sundarpichai,2021-05-04,14:19:05,in honor of asian pacific american heritage month todays doodle celebrates japanese american short story author hisaye yamamoto were committing m to support orgs amp efforts for the safety dignity and equity for the asian amp pacific islander community,9
42,sundarpichai,2021-04-26,20:30:27,excited for this partnership with univision to help them innovate inform and engage spanish speaking audiences around the world and bienvenido a twitter thomas ,7
43,sundarpichai,2021-04-26,03:53:54,devastated to see the worsening covid crisis in india google amp googlers are providing rs crore in funding to giveindia unicef for medical supplies orgs supporting high risk communities and grants to help spread critical information ,-6
44,sundarpichai,2021-04-23,19:21:59,thanks afreedma for the conversation happy to share what were learning as we work to achieve carbon free operations at google by ,7
45,sundarpichai,2021-04-22,16:56:23,glad to see the us government announcing an ambitious yet attainable goal to cut greenhouse gas emissions by below levels by at google were committed to doing our part by working to achieve carbon free operations by ,6
46,sundarpichai,2021-04-21,18:22:14,proud that weve matched our operations with renewable energy years in a row of our data centers are running on carbon free energy putting us on track to operate on carbon free energy by ,4
47,sundarpichai,2021-04-19,23:53:24,congrats nasa ingenuity on your historic flight ,2
48,sundarpichai,2021-04-15,16:04:54,to help with equitable covid vaccine distribution efforts globally were providing vaccines to countries in need supporting pop up vaccine sites in the us amp committing another m in ad grants to help connect people to accurate vaccine info,7
49,sundarpichai,2021-04-15,13:10:40,our planet has seen rapid environmental change in the past half century more than any other point in human history the new timelapse feature in googleearth compiles million satellite photos from the past years into an interactive d experience ,0
50,sundarpichai,2021-04-14,13:07:07,excited that were launching a new googlecloud region in poland thank you pm morawieckim for your partnership look forward to helping unleash new opportunities for people in poland and around the world ,9
51,sundarpichai,2021-04-07,17:36:48, and were back join us may for live online and free for everyone ,2
72,elonmusk,2021-05-13,23:30:52,as always,0
74,elonmusk,2021-05-13,22:45:16,working with doge devs to improve system transaction efficiency potentially promising ,2
76,elonmusk,2021-05-13,21:11:46,to be clear i strongly believe in crypto but it cant drive a massive increase in fossil fuel use especially coal,2
77,elonmusk,2021-05-13,20:59:45,it is high time there was a carbon tax ,0
79,elonmusk,2021-05-13,09:54:35,energy usage trend over past few months is insane,-2
80,elonmusk,2021-05-12,22:06:14,tesla amp bitcoin,0
90,elonmusk,2021-05-11,08:13:35,do you want tesla to accept doge ,2
92,elonmusk,2021-05-11,07:04:25,snl monologue,0
93,elonmusk,2021-05-10,23:32:58,thanks again to nbcsnl cast writers amp crew honor amp pleasure to do the show with you ,7
100,elonmusk,2021-05-09,22:41:43,spacex launching satellite doge to the moon next year mission paid for in doge st crypto in space st meme in space to the mooooonnn ,0
101,elonmusk,2021-05-09,13:21:16,wario was my fav haha ,3
103,elonmusk,2021-05-08,20:39:52,special link to view snl outside usa,0
104,elonmusk,2021-05-08,09:03:01,first time a falcon rocket booster will reach double digits in flights,1
108,elonmusk,2021-05-08,01:22:52,cybertruck prototype in new york this weekend,0
111,elonmusk,2021-05-07,21:05:35,guest starring ,0
112,elonmusk,2021-05-07,20:57:52,,0
118,elonmusk,2021-05-07,04:24:20,cryptocurrency is promising but please invest with caution ,1
121,elonmusk,2021-05-06,19:26:59,make humanity a multiplanet species ,0
122,elonmusk,2021-05-06,19:26:09,public support for life on mars is critical to making it happen,2
132,elonmusk,2021-05-05,22:37:20,starship landing nominal ,0
133,elonmusk,2021-05-05,22:22:39,about to launch,0
145,elonmusk,2021-05-02,03:13:36,i love art deco,3
147,elonmusk,2021-05-01,21:56:54,baby shark amp shark tank merge to form baby shark tank,0
148,elonmusk,2021-05-01,21:53:38,irony man defeats villains using the power of irony,-2
150,elonmusk,2021-05-01,21:49:50,throwing out some skit ideas for snl what should i do ,0
151,elonmusk,2021-05-01,21:36:22,woke james bond snl may ,0
152,elonmusk,2021-04-29,22:45:59,a major part of real world ai has to be solved to make unsupervised generalized full self driving work as the entire road system is designed for biological neural nets with optical imagers,1
173,elonmusk,2021-04-28,08:43:37, ,0
176,elonmusk,2021-04-28,06:20:47,the dogefather snl may ,0
187,elonmusk,2021-04-27,00:15:00,starship sn static fire completed preparing for flight later this week,-2
199,elonmusk,2021-04-25,03:20:46,lets find out just how live saturday night live really is ,0
200,elonmusk,2021-04-25,03:09:25,am hosting snl on may ,0
203,elonmusk,2021-04-24,09:03:34,,0
204,elonmusk,2021-04-24,08:55:19,define beauty,0
205,elonmusk,2021-04-24,08:54:25,what does the future hodl ,0
210,elonmusk,2021-04-23,09:47:18, mins to launch,0
211,elonmusk,2021-04-23,08:13:41,astronauts preparing to launch to space station,0
214,elonmusk,2021-04-22,20:57:44, happy earth day ,3
221,elonmusk,2021-04-22,05:49:17,tesla solar powerwall battery enables consumers to be their own utility,0
225,elonmusk,2021-04-22,05:14:54,powerwall peak amp steady power capability is better than advertised now that we have lots of operational data tesla can unlock higher capabilities for free via software update next month depending on production date power increase power may be gt at c ambient temp ,4
226,elonmusk,2021-04-22,01:51:09,solar power will feed exclusively to powerwall powerwall will interface only between utility meter amp house main breaker panel enabling super simple install amp seamless whole house backup during utility dropouts ,3
227,elonmusk,2021-04-22,01:27:43,starting next week tesla solar panels amp solar roof will only be sold as an integrated product with tesla powerwall battery,0
245,elonmusk,2021-04-17,22:32:03,tesla with autopilot engaged now approaching times lower chance of accident than average vehicle,0
246,elonmusk,2021-04-17,05:46:56,dragon spacecraft amp falcon rocket,0
248,elonmusk,2021-04-17,04:46:34,if we make life multiplanetary there may come a day when some plants amp animals die out on earth but are still alive on mars,-2
250,elonmusk,2021-04-17,01:37:48,everything to the moon ,0
251,elonmusk,2021-04-16,22:16:48,we are honored to be part of the nasaartemis team,2
252,elonmusk,2021-04-16,21:55:05, nasa rules ,0
253,elonmusk,2021-04-16,17:01:25, ,0
254,elonmusk,2021-04-16,02:13:57, austin rocks ,0
258,elonmusk,2021-04-16,00:50:37,make life multiplanetary ,0
265,elonmusk,2021-04-15,04:33:18,doge barking at the moon,0
268,elonmusk,2021-04-15,03:47:00,le petit prince,0
269,elonmusk,2021-04-15,03:42:35, ,0
283,elonmusk,2021-04-14,21:57:08,tesla ai autopilot engineering is awesome making excellent progress solving real world ai ,10
294,elonmusk,2021-04-11,15:48:58,love this beautiful shot,6
296,elonmusk,2021-04-11,12:23:49,the art in cyberpunk is incredible,0
301,elonmusk,2021-04-10,22:09:02,blimps rock,0
309,elonmusk,2021-04-10,07:45:17,just needs some legs,0
310,elonmusk,2021-04-10,07:45:10,the starship launch tower that catches the giant rocket booster is basically mechazilla,0
311,elonmusk,2021-04-10,07:29:45,but wait how is the core of the earth lit by the sun stop asking questions ,-1
312,elonmusk,2021-04-10,07:29:01,kong vs godzilla has record for most meth ever consumed in a writers room,0
314,elonmusk,2021-04-10,07:15:47, going to moon very soon,0
318,elonmusk,2021-04-10,06:41:45,where is shrek ,0
322,elonmusk,2021-04-09,22:24:01,its all about the cufflinks,0
329,elonmusk,2021-04-09,11:24:30,thanks to all that helped spacex ,2
330,elonmusk,2021-04-09,11:21:13,just read it book is accurate ,0
333,elonmusk,2021-04-09,07:32:42,,0
334,elonmusk,2021-04-09,04:11:42,soon our monkey will be on twitch amp discord haha,1
