symbol,name,full_name,name_and_type
KLIC,kulicke and soffa industries,"Kulicke and Soffa Industries, Inc.","Kulicke and Soffa Industries, Inc. - Common Stock"
KLXI,klx,KLX Inc.,KLX Inc. - Common Stock
KMDA,kamada,Kamada Ltd.,Kamada Ltd. - Ordinary Shares
KNDI,kandi technologies group,"Kandi Technologies Group, Inc.","Kandi Technologies Group, Inc. - Common Stock"
KONA,kona grill,"Kona Grill, Inc.","Kona Grill, Inc. - Common Stock"
KONE,kingtone wirelessinfo solution holding,Kingtone Wirelessinfo Solution Holding Ltd,Kingtone Wirelessinfo Solution Holding Ltd - American Depositary Shares
KOOL,cesca therapeutics,Cesca Therapeutics Inc.,Cesca Therapeutics Inc. - Common Stock
KOPN,kopin,Kopin Corporation,Kopin Corporation - Common Stock
KOSS,koss,Koss Corporation,Koss Corporation - Common Stock
KPTI,karyopharm therapeutics,Karyopharm Therapeutics Inc.,Karyopharm Therapeutics Inc. - Common Stock
KRFT,kraft foods group,"Kraft Foods Group, Inc.","Kraft Foods Group, Inc. - Common Stock"
KRNY,kearny financial,Kearny Financial,Kearny Financial - Common Stock
KTCC,key tronic,Key Tronic Corporation,Key Tronic Corporation - Common Stock
KTEC,key technology,"Key Technology, Inc.","Key Technology, Inc. - Common Stock"
KTOS,kratos defense & security solutions,"Kratos Defense & Security Solutions, Inc.","Kratos Defense & Security Solutions, Inc. - Common Stock"
KTWO,k2m group holdings,"K2M Group Holdings, Inc.","K2M Group Holdings, Inc. - Common Stock"
KUTV,ku6 media co.,"Ku6 Media Co., Ltd.","Ku6 Media Co., Ltd. - American Depositary Shares, each representing 100 ordinary shares"
KVHI,kvh industries,"KVH Industries, Inc.","KVH Industries, Inc. - Common Stock"
KWEB,kraneshares csi china internet etf,KraneShares CSI China Internet ETF,KraneShares CSI China Internet ETF
KYTH,kythera biopharmaceuticals,"Kythera Biopharmaceuticals, Inc.","Kythera Biopharmaceuticals, Inc. - Common Stock"
KZ,kongzhong,KongZhong Corporation,"KongZhong Corporation - American Depositary Shares, each representing 40 ordinary shares"
LABC,louisiana bancorp,"Louisiana Bancorp, Inc.","Louisiana Bancorp, Inc. - Common Stock"
LABL,multi,Multi,Multi-Color Corporation - Common Stock
LACO,lakes entertainment,"Lakes Entertainment, Inc.","Lakes Entertainment, Inc. - Common Stock"
LAKE,lakeland industries,"Lakeland Industries, Inc.","Lakeland Industries, Inc. - Common Stock"
LALT,powershares actively managed exchange,PowerShares Actively Managed Exchange,PowerShares Actively Managed Exchange-Traded Fund Trust - PowerShares Multi-Strategy Alternative Portfolio
LAMR,lamar advertising,Lamar Advertising Company,Lamar Advertising Company - Class A Common Stock
LANC,lancaster colony,Lancaster Colony Corporation,Lancaster Colony Corporation - Common Stock
LAND,gladstone land,Gladstone Land Corporation,Gladstone Land Corporation - Common Stock
LARK,landmark bancorp,Landmark Bancorp Inc.,Landmark Bancorp Inc. - Common Stock
LAWS,lawson products,"Lawson Products, Inc.","Lawson Products, Inc. - Common Stock"
LAYN,layne christensen,Layne Christensen Company,Layne Christensen Company - Common Stock
LBAI,lakeland bancorp,"Lakeland Bancorp, Inc.","Lakeland Bancorp, Inc. - Common Stock"
LBIX,leading brands,Leading Brands Inc,Leading Brands Inc - Common Shares
LBRDA,liberty broadband,Liberty Broadband Corporation,Liberty Broadband Corporation - Class A Common Stock
LBRDK,liberty broadband,Liberty Broadband Corporation,Liberty Broadband Corporation - Class C Common Stock
LBRKR,liberty broadband,Liberty Broadband Corporation,Liberty Broadband Corporation - Subscription Rights to Purchase Shares of Series C Common Stock
LBTYA,liberty global,Liberty Global plc,Liberty Global plc - Class A Ordinary Shares
LBTYB,liberty global,Liberty Global plc,Liberty Global plc - Class B Ordinary Shares
